Sample     Label        p(atk)   Status     Verdict
594        ?            0.6047   ATTACK     [??] No label
595        attack       0.6053   ATTACK     [TP] Correct
596        ?            0.6103   ATTACK     [??] No label
597        attack       0.6077   ATTACK     [TP] Correct
598        ?            0.6118   ATTACK     [??] No label
599        attack       0.6099   ATTACK     [TP] Correct
600        ?            0.6059   ATTACK     [??] No label
601        attack       0.6079   ATTACK     [TP] Correct
602        ?            0.6072   ATTACK     [??] No label
603        attack       0.6077   ATTACK     [TP] Correct
604        ?            0.6048   ATTACK     [??] No label
605        attack       0.6063   ATTACK     [TP] Correct
606        ?            0.5998   ATTACK     [??] No label
607        attack       0.6031   ATTACK     [TP] Correct
608        ?            0.6091   ATTACK     [??] No label
609        attack       0.6060   ATTACK     [TP] Correct
610        ?            0.5985   ATTACK     [??] No label
611        attack       0.6020   ATTACK     [TP] Correct
612        ?            0.5994   ATTACK     [??] No label
613        attack       0.6006   ATTACK     [TP] Correct
614        ?            0.6013   ATTACK     [??] No label
615        attack       0.6009   ATTACK     [TP] Correct
616        ?            0.6011   ATTACK     [??] No label
617        attack       0.6010   ATTACK     [TP] Correct
618        ?            0.5947   ATTACK     [??] No label
619        attack       0.5981   ATTACK     [TP] Correct
620        ?            0.6019   ATTACK     [??] No label
621        attack       0.6001   ATTACK     [TP] Correct
622        ?            0.6024   ATTACK     [??] No label
623        attack       0.6012   ATTACK     [TP] Correct
624        ?            0.6048   ATTACK     [??] No label
625        attack       0.6030   ATTACK     [TP] Correct
626        ?            0.6018   ATTACK     [??] No label
627        attack       0.6024   ATTACK     [TP] Correct
628        ?            0.6089   ATTACK     [??] No label
630        ?            0.5718   ATTACK     [??] No label
631        attack       0.5071   ATTACK     [TP] Correct
632        ?            0.5589   ATTACK     [??] No label
633        attack       0.5406   ATTACK     [TP] Correct
634        ?            0.5601   ATTACK     [??] No label
635        attack       0.5635   ATTACK     [TP] Correct
636        ?            0.5724   ATTACK     [??] No label
637        attack       0.5488   ATTACK     [TP] Correct
639        attack       0.5475   ATTACK     [TP] Correct
641        attack       0.5228   ATTACK     [TP] Correct
643        attack       0.5229   ATTACK     [TP] Correct
645        attack       0.5211   ATTACK     [TP] Correct
647        attack       0.5374   ATTACK     [TP] Correct
648        ?            0.6507   ATTACK     [??] No label
649        attack       0.6015   ATTACK     [TP] Correct
650        ?            0.6007   ATTACK     [??] No label
651        attack       0.6011   ATTACK     [TP] Correct
652        ?            0.5972   ATTACK     [??] No label
653        attack       0.5993   ATTACK     [TP] Correct
654        ?            0.6034   ATTACK     [??] No label
655        attack       0.6013   ATTACK     [TP] Correct
656        ?            0.6016   ATTACK     [??] No label
657        attack       0.6015   ATTACK     [TP] Correct
658        ?            0.6087   ATTACK     [??] No label
659        attack       0.6051   ATTACK     [TP] Correct
660        ?            0.6074   ATTACK     [??] No label
661        attack       0.6063   ATTACK     [TP] Correct
662        ?            0.6077   ATTACK     [??] No label
663        attack       0.6070   ATTACK     [TP] Correct
664        ?            0.6101   ATTACK     [??] No label
665        attack       0.6085   ATTACK     [TP] Correct
666        ?            0.6079   ATTACK     [??] No label
667        attack       0.6082   ATTACK     [TP] Correct
668        ?            0.6060   ATTACK     [??] No label
669        attack       0.6071   ATTACK     [TP] Correct
670        ?            0.6103   ATTACK     [??] No label
671        attack       0.6088   ATTACK     [TP] Correct
672        ?            0.6066   ATTACK     [??] No label
673        attack       0.6076   ATTACK     [TP] Correct
674        ?            0.6073   ATTACK     [??] No label
675        attack       0.6075   ATTACK     [TP] Correct
676        ?            0.6055   ATTACK     [??] No label
677        attack       0.6064   ATTACK     [TP] Correct
678        ?            0.5644   ATTACK     [??] No label
679        attack       0.5823   ATTACK     [TP] Correct
680        ?            0.5717   ATTACK     [??] No label
681        attack       0.5784   ATTACK     [TP] Correct
682        ?            0.5797   ATTACK     [??] No label
683        attack       0.5802   ATTACK     [TP] Correct
684        ?            0.5736   ATTACK     [??] No label
685        attack       0.5785   ATTACK     [TP] Correct
686        ?            0.5793   ATTACK     [??] No label
687        attack       0.5800   ATTACK     [TP] Correct
688        ?            0.6158   ATTACK     [??] No label
689        attack       0.6018   ATTACK     [TP] Correct
690        ?            0.6094   ATTACK     [??] No label
691        attack       0.6056   ATTACK     [TP] Correct
692        ?            0.6066   ATTACK     [??] No label
693        attack       0.6062   ATTACK     [TP] Correct
694        ?            0.6122   ATTACK     [??] No label
695        attack       0.6092   ATTACK     [TP] Correct
696        ?            0.6108   ATTACK     [??] No label
697        attack       0.6100   ATTACK     [TP] Correct
698        ?            0.6127   ATTACK     [??] No label
699        attack       0.6114   ATTACK     [TP] Correct
700        ?            0.5783   ATTACK     [??] No label
701        attack       0.5930   ATTACK     [TP] Correct
702        ?            0.5908   ATTACK     [??] No label
703        attack       0.5919   ATTACK     [TP] Correct
704        ?            0.5864   ATTACK     [??] No label
705        attack       0.5896   ATTACK     [TP] Correct
706        ?            0.5896   ATTACK     [??] No label
707        attack       0.5895   ATTACK     [TP] Correct
708        ?            0.5902   ATTACK     [??] No label
709        attack       0.5897   ATTACK     [TP] Correct
710        ?            0.6208   ATTACK     [??] No label
711        attack       0.6073   ATTACK     [TP] Correct
712        ?            0.6064   ATTACK     [??] No label
