threshold,recall,fpr,f1
0.5151515151515152,0.928740581270183,0.03349923539956816,0.8808961232169423
0.5252525252525253,0.927079809318776,0.033396143206510846,0.880245291283399
0.5353535353535354,0.9250192218975857,0.03327014163721857,0.8794315872574963
0.5454545454545455,0.9223742887897893,0.033121230691691345,0.8783552255853798
0.5555555555555556,0.9200984161156389,0.03294368302587041,0.8775372521412648
0.5656565656565657,0.9184376441642319,0.0327833173922257,0.8770080173856861
0.5757575757575758,0.9171459326464708,0.03254849628581738,0.876843234978462
0.5858585858585859,0.915515915731201,0.03227358377099788,0.8765864719220237
0.595959595959596,0.9140704290327542,0.03197003453588467,0.876492966469079
0.6060606060606061,0.9118868214670153,0.03165503061265399,0.8760267092123146
0.6161616161616162,0.9106873750576657,0.03145457357059811,0.8758318790854506
0.6262626262626263,0.9093649085037675,0.03127702590477718,0.8755181807414426
0.6363636363636365,0.9079501768414577,0.03109375089489751,0.8751667506595915
0.6464646464646465,0.9051514685529756,0.030881839164724142,0.8741275357153465
0.6565656565656566,0.9006612332769491,0.030681382122668254,0.8721354438107718
0.6666666666666667,0.8982008303859758,0.030492379768729847,0.8712189010202255
0.6767676767676768,0.8970321390127634,0.030188830533616647,0.8712679043508132
0.686868686868687,0.8957404274950023,0.02997119145938454,0.8710540875988815
0.696969696969697,0.8933415346763033,0.029747825041093693,0.8702438732098987
0.7070707070707072,0.8875595878825158,0.02965046019209512,0.867274721642049
0.7171717171717172,0.8785483622943256,0.029513003934685367,0.8625781320771809
0.7272727272727273,0.8684299554051976,0.02932400158074696,0.8573293660432354
0.7373737373737375,0.8616023373827464,0.02918081797927847,0.8537904761904762
0.7474747474747475,0.8559741657696448,0.02898036093722258,0.8510404085189659
0.7575757575757577,0.850130708903583,0.028613810917463244,0.8485257777845994
0.7676767676767677,0.8460402890973396,0.02809262260811794,0.8473563430824439
0.7777777777777778,0.8385360602798708,0.027685981179947423,0.8439347509827592
0.787878787878788,0.831585422112871,0.026981517860722448,0.841484478331907
0.797979797979798,0.8170382900199907,0.026397328766731003,0.8342282932956508
0.8080808080808082,0.8046132554205752,0.02565850138315359,0.8284750700634925
0.8181818181818182,0.7926187913270798,0.024902491967399958,0.8229264788057795
0.8282828282828284,0.7809318775949562,0.024020480982354053,0.8177646092655513
0.8383838383838385,0.7745040750422881,0.023195743437895544,0.8156701431625316
0.8484848484848485,0.7689374135014608,0.022073184002382576,0.8147822261328641
0.8585858585858587,0.761248654467169,0.020858987061929773,0.8127534518708237
0.8686868686868687,0.7521759188067046,0.020011340141236303,0.8089504845698409
0.8787878787878789,0.745102260495156,0.01932405885418755,0.8060083837913368
0.888888888888889,0.7383976626172536,0.01863105022308005,0.8032855446074577
0.8989898989898991,0.7316623097032139,0.018379047084495507,0.799475753604194
0.9090909090909092,0.7244963862832539,0.018098407225617265,0.795414640734738
0.9191919191919192,0.7176995232969399,0.017645947044976833,0.7919636190864047
0.9292929292929294,0.708165462094418,0.0172507603049238,0.7865011186446468
0.9393939393939394,0.7005382131324004,0.016804027468342107,0.7823861782334656
0.9494949494949496,0.690358296170998,0.01642029541640655,0.7763232979992737
0.9595959595959597,0.6823619867753344,0.016019381332294774,0.771735160611489
0.9696969696969697,0.668491465477472,0.01451308984484625,0.7655542837016818
0.9797979797979799,0.6471474703982777,0.01306407179798512,0.7536802894086464
0.98989898989899,0.5950484391819161,0.011695236567946346,0.7178554865040349
1.0,0.0,0.0,0.0
