n_smooth,threshold,recall,fpr,f1,median_latency
3,0.76,0.7435,0.0,0.8528821336392314,0.0
3,0.77,0.7406,0.0,0.850970929564518,0.0
3,0.78,0.7377666666666667,0.0,0.8490975006234055,0.0
3,0.79,0.7357,0.0,0.8477271417871752,0.0
3,0.8,0.7340333333333333,0.0,0.8466196343784241,0.0
3,0.81,0.7326,0.0,0.845665473854323,0.0
3,0.8200000000000001,0.7315333333333334,0.0,0.84495437569784,0.0
3,0.8300000000000001,0.7293666666666667,0.0,0.8435072569919624,0.0
3,0.84,0.7260333333333333,0.0,0.8412738263069466,0.0
3,0.85,0.7200666666666666,0.0,0.8372543699856595,0.0
5,0.0,1.0,0.8693999999998261,0.932444403002471,0.0
5,0.01,1.0,0.1459999999999708,0.9879795817553104,0.0
5,0.02,1.0,0.06719999999998655,0.994431185361973,0.0
5,0.03,1.0,0.053599999999989274,0.9955531957257583,0.0
5,0.04,1.0,0.04999999999999,0.995850622406639,0.0
5,0.05,1.0,0.048599999999990276,0.9959663363378318,0.0
5,0.06,1.0,0.0459999999999908,0.9961813049975096,0.0
5,0.07,1.0,0.044999999999991,0.9962640099626401,0.0
5,0.08,1.0,0.0439999999999912,0.9963467286615743,0.0
5,0.09,1.0,0.04119999999999176,0.9965784141115503,0.0
5,0.1,1.0,0.038999999999992194,0.99676052828308,0.0
5,0.11,1.0,0.03579999999999284,0.9970255404709284,0.0
5,0.12,1.0,0.034999999999992995,0.9970918155380141,0.0
5,0.13,1.0,0.029999999999993997,0.9975062344139651,0.0
5,0.14,1.0,0.02059999999999588,0.9982862752275261,0.0
5,0.15,1.0,0.019999999999995997,0.9983361064891847,0.0
5,0.16,1.0,0.01619999999999676,0.9986518200429421,0.0
5,0.17,1.0,0.013999999999997199,0.9988346928583319,0.0
5,0.18,0.9999333333333333,0.00819999999999836,0.9992837988640717,0.0
5,0.19,0.9998666666666667,0.0005999999999998799,0.9998833313888564,0.0
5,0.2,0.9998,0.0,0.9998999899989999,0.0
5,0.21,0.9994333333333333,0.0,0.999716586366137,0.0
5,0.22,0.9993666666666666,0.0,0.9996832330237909,0.0
5,0.23,0.9993666666666666,0.0,0.9996832330237909,0.0
5,0.24,0.9992666666666666,0.0,0.9996331988395745,0.0
5,0.25,0.9992,0.0,0.9995998399359743,0.0
5,0.26,0.9991333333333333,0.0,0.9995664788074833,0.0
5,0.27,0.9990333333333333,0.0,0.999516432942589,0.0
5,0.28,0.9989666666666667,0.0,0.9994830662508963,0.0
5,0.29,0.9988,0.0,0.9993996397838704,0.0
5,0.3,0.9988,0.0,0.9993996397838704,0.0
5,0.31,0.9987333333333334,0.0,0.9993662653013575,0.0
5,0.32,0.9986666666666667,0.0,0.9993328885923949,0.0
5,0.33,0.9985333333333334,0.0,0.9992661284942291,0.0
5,0.34,0.9983333333333333,0.0,0.9991659716430359,0.0
5,0.35000000000000003,0.9978666666666667,0.0,0.99893219434063,0.0
5,0.36,0.9961333333333333,0.0,0.9980629216485205,0.0
5,0.37,0.9940666666666667,0.0,0.9970245060345693,0.0
5,0.38,0.9918333333333333,0.0,0.9958999246924943,0.0
5,0.39,0.9899,0.0,0.9949243680586964,0.0
5,0.4,0.9887333333333334,0.0,0.9943347524387383,0.0
5,0.41000000000000003,0.9875,0.0,0.9937106918238994,0.0
5,0.42,0.9861666666666666,0.0,0.9930351598556684,0.0
5,0.43,0.9853333333333333,0.0,0.9926124916051041,0.0
5,0.44,0.9842666666666666,0.0,0.9920709582045424,0.0
5,0.45,0.9832666666666666,0.0,0.9915627416047599,0.0
5,0.46,0.9822333333333333,0.0,0.99103704575647,0.0
5,0.47000000000000003,0.9811,0.0,0.9904598455403564,0.0
5,0.48,0.9804,0.0,0.9901030094930318,0.0
5,0.49,0.98,0.0,0.98989898989899,0.0
5,0.5,0.9795,0.0,0.9896438494569336,0.0
5,0.51,0.9787,0.0,0.9892353565472279,0.0
5,0.52,0.9765333333333334,0.0,0.9881273610361576,0.0
5,0.53,0.9707666666666667,0.0,0.9851665172606262,0.0
5,0.54,0.9589333333333333,0.0,0.9790362101824122,0.0
5,0.55,0.9457333333333333,0.0,0.9721099157130131,0.0
5,0.56,0.9341666666666667,0.0,0.965962947005601,0.0
5,0.5700000000000001,0.9259666666666667,0.0,0.9615604285293965,0.0
5,0.58,0.9193666666666667,0.0,0.9579896146298258,0.0
5,0.59,0.9140666666666667,0.0,0.9551043154191773,0.0
5,0.6,0.9101333333333333,0.0,0.9529526734608404,0.0
5,0.61,0.9063,0.0,0.9508471908933536,0.0
5,0.62,0.9014,0.0,0.9481434732302514,0.0
5,0.63,0.8969333333333334,0.0,0.9456666900962958,0.0
5,0.64,0.8925333333333333,0.0,0.9432154431449908,0.0
5,0.65,0.8887,0.0,0.9410705776459999,0.0
5,0.66,0.8854333333333333,0.0,0.9392358962572707,0.0
5,0.67,0.8833666666666666,0.0,0.9380718925328755,0.0
5,0.68,0.8805666666666667,0.0,0.936490774057465,0.0
5,0.6900000000000001,0.8752,0.0,0.9334470989761092,0.0
5,0.7000000000000001,0.8621333333333333,0.0,0.9259630531290276,0.0
5,0.71,0.8371666666666666,0.0,0.9113671414315522,0.0
5,0.72,0.7961666666666667,0.0,0.8865175837431567,0.0
5,0.73,0.7540666666666667,0.0,0.8597924822317662,0.0
5,0.74,0.7174333333333334,0.0,0.8354715369834831,0.0
5,0.75,0.696,0.0,0.8207547169811321,0.0
5,0.76,0.6788666666666666,0.0,0.8087201683675496,0.0
5,0.77,0.6668,0.0,0.8000959923206143,0.0
5,0.78,0.6588666666666667,0.0,0.7943575935377567,0.0
5,0.79,0.6519333333333334,0.0,0.7892973889180355,0.0
5,0.8,0.6444666666666666,0.0,0.7838002189159606,0.0
5,0.81,0.6362666666666666,0.0,0.7777053455019557,0.0
5,0.8200000000000001,0.6290333333333333,0.0,0.7722780381003049,0.0
5,0.8300000000000001,0.6234666666666666,0.0,0.7680683311432326,0.0
5,0.84,0.6193333333333333,0.0,0.7649238369699465,0.0
5,0.85,0.6152333333333333,0.0,0.7617888024434034,0.0
7,0.0,1.0,0.9361999999998126,0.9276294429585195,0.0
7,0.01,1.0,0.16019999999996795,0.9868258745744314,0.0
7,0.02,1.0,0.07719999999998456,0.9936077898850727,0.0
7,0.03,1.0,0.06799999999998639,0.9943652635067949,0.0
7,0.04,1.0,0.06459999999998707,0.9946454917693086,0.0
7,0.05,1.0,0.06259999999998747,0.9948104057168438,0.0
7,0.06,1.0,0.05959999999998807,0.9950578791999735,0.0
7,0.07,1.0,0.056399999999988716,0.9953219866626853,0.0
7,0.08,1.0,0.04999999999999,0.995850622406639,0.0
7,0.09,1.0,0.048199999999990355,0.9959994024003586,0.0
7,0.1,1.0,0.031599999999993675,0.9973735828983676,0.0
7,0.11,1.0,0.028799999999994236,0.9976057462090981,0.0
7,0.12,1.0,0.02079999999999584,0.9982696659124185,0.0
7,0.13,1.0,0.010799999999997839,0.9991008092716556,0.0
7,0.14,1.0,0.00039999999999991995,0.9999666677777408,0.0
7,0.15,1.0,0.0,1.0,0.0
7,0.16,1.0,0.0,1.0,0.0
7,0.17,1.0,0.0,1.0,0.0
7,0.18,1.0,0.0,1.0,0.0
7,0.19,1.0,0.0,1.0,0.0
7,0.2,1.0,0.0,1.0,0.0
7,0.21,1.0,0.0,1.0,0.0
7,0.22,1.0,0.0,1.0,0.0
7,0.23,1.0,0.0,1.0,0.0
7,0.24,1.0,0.0,1.0,0.0
7,0.25,1.0,0.0,1.0,0.0
7,0.26,1.0,0.0,1.0,0.0
7,0.27,0.9998666666666667,0.0,0.9999333288885925,0.0
7,0.28,0.9998,0.0,0.9998999899989999,0.0
7,0.29,0.9996333333333334,0.0,0.9998166330493924,0.0
7,0.3,0.9996,0.0,0.9997999599919984,0.0
7,0.31,0.9996,0.0,0.9997999599919984,0.0
7,0.32,0.9995666666666667,0.0,0.9997832863787154,0.0
7,0.33,0.9995,0.0,0.9997499374843711,0.0
7,0.34,0.9994333333333333,0.0,0.999716586366137,0.0
7,0.35000000000000003,0.9994333333333333,0.0,0.999716586366137,0.0
7,0.36,0.9993666666666666,0.0,0.9996832330237909,0.0
7,0.37,0.9992666666666666,0.0,0.9996331988395745,0.0
7,0.38,0.9989333333333333,0.0,0.9994663820704376,0.0
7,0.39,0.9982,0.0,0.9990991892703434,0.0
7,0.4,0.9971666666666666,0.0,0.998581323541684,0.0
7,0.41000000000000003,0.9960333333333333,0.0,0.9980127252383895,0.0
7,0.42,0.9953333333333333,0.0,0.9976612094888072,0.0
7,0.43,0.9946,0.0,0.997292690263712,0.0
7,0.44,0.994,0.0,0.9969909729187563,0.0
7,0.45,0.9935,0.0,0.9967394030599448,0.0
7,0.46,0.9928,0.0,0.9963869931754316,0.0
7,0.47000000000000003,0.9920666666666667,0.0,0.9960175362270339,0.0
7,0.48,0.9916666666666667,0.0,0.99581589958159,0.0
7,0.49,0.9908333333333333,0.0,0.9953955629970699,0.0
7,0.5,0.9890333333333333,0.0,0.994486433946138,0.0
7,0.51,0.9858333333333333,0.0,0.9928661351237935,0.0
7,0.52,0.9805666666666667,0.0,0.9901879933352408,0.0
7,0.53,0.9742666666666666,0.0,0.9869656243668535,0.0
7,0.54,0.9697666666666667,0.0,0.9846513123381788,0.0
7,0.55,0.9657666666666667,0.0,0.9825852508775202,0.0
7,0.56,0.9620333333333333,0.0,0.9806493263790965,0.0
7,0.5700000000000001,0.9580666666666666,0.0,0.9785843178645602,0.0
7,0.58,0.9541333333333334,0.0,0.976528384279476,0.0
7,0.59,0.9505,0.0,0.9746218918226096,0.0
7,0.6,0.9480333333333333,0.0,0.9733235228692185,0.0
7,0.61,0.946,0.0,0.9722507708119219,0.0
