layers,units,lr,w,avg_recall,avg_f1,avg_fpr
2,8,0.001,8,0.9700802935236432,0.8559145618294574,0.22733529702428523
2,8,0.005,8,0.9518609550751345,0.8539878306428903,0.2213195594166404
2,16,0.001,8,0.9417000547663035,0.8456263001311697,0.22448944688716707
2,16,0.005,8,0.946853184019447,0.8395706877315601,0.23048077683881654
3,8,0.001,8,0.9689388408403525,0.8435450215950742,0.24128765758905835
3,8,0.005,8,0.937518525836186,0.8485347938692038,0.21869825532334047
3,16,0.001,8,0.950885845997633,0.8502394005277285,0.22538564752557672
3,16,0.005,8,0.9590397769916474,0.8548958364907377,0.22488607574483108
1,8,0.001,9,0.9335233901433192,0.8504074794169005,0.22265305234926883
1,8,0.005,9,0.9426780953402689,0.8324513113221987,0.24203576178187364
1,16,0.001,9,0.9411879514154913,0.8560119512350512,0.2197482081825763
1,16,0.005,9,0.946617678433056,0.8422884718563965,0.22957012625017015
2,8,0.001,9,0.955238708289546,0.8547501546177252,0.2239548397542041
2,8,0.005,9,0.9464968472816235,0.8313105569503347,0.23015133826610704
2,16,0.001,9,0.9658606696299529,0.8552755831267076,0.2243551642170467
2,16,0.005,9,0.9768083307188432,0.8671496074218492,0.22012745544628104
3,8,0.001,9,0.968075775122023,0.8490962327355212,0.2278406257399276
3,8,0.005,9,0.9419783429878568,0.845820283640333,0.2223015191452195
3,16,0.001,9,0.9579697020458988,0.849784142991477,0.22284656873196348
3,16,0.005,9,0.9529282601667441,0.8468714966987669,0.22100211053380375
1,8,0.001,10,0.9397114004593707,0.8339444281377822,0.24702251292415686
1,8,0.005,10,0.9364057156966086,0.8222638921871657,0.24799760659140085
1,16,0.001,10,0.9328415654112462,0.8404249911283852,0.22773468974010375
1,16,0.005,10,0.9592682779858352,0.854218625209756,0.22701844667585086
2,8,0.001,10,0.9722072879052389,0.8442186420710144,0.24942562114669137
2,8,0.005,10,0.9714112307143019,0.8648235121651779,0.22137124408130723
2,16,0.001,10,0.9697846389377759,0.8629800696457582,0.22314549100674524
2,16,0.005,10,0.9677089083117364,0.8637138391925351,0.22183009086524122
