n_smooth,threshold,recall,fpr,f1,median_latency
3,0.6439,0.7943,0.0,0.8854,0.0
3,0.6525,0.7932,0.0,0.8847,0.0
3,0.6611,0.7915,0.0,0.8836,0.0
3,0.6697,0.7898,0.0,0.8825,0.0
3,0.6783,0.7884,0.0,0.8817,0.0
3,0.6869,0.7863,0.0,0.8803,0.0
3,0.6955,0.7848,0.0,0.8794,0.0
3,0.704,0.7833,0.0,0.8785,0.0
3,0.7126,0.7817,0.0,0.8774,0.0
3,0.7212,0.7787,0.0,0.8756,0.0
3,0.7298,0.7755,0.0,0.8736,0.0
3,0.7384,0.7713,0.0,0.8709,0.0
3,0.747,0.7671,0.0,0.8682,0.0
3,0.7556,0.7644,0.0,0.8665,0.0
3,0.7641,0.7562,0.0,0.8612,0.0
3,0.7727,0.7479,0.0,0.8558,0.0
3,0.7813,0.7109,0.0,0.831,0.0
3,0.7899,0.6334,0.0,0.7755,0.0
3,0.7985,0.5306,0.0,0.6933,0.0
3,0.8071,0.3401,0.0,0.5076,0.0
3,0.8157,0.2196,0.0,0.3602,0.0
3,0.8242,0.1255,0.0,0.223,0.0
3,0.8328,0.0824,0.0,0.1522,0.0
3,0.8414,0.0639,0.0,0.12,0.0
3,0.85,0.0468,0.0,0.0895,0.0
5,0.0,1.0,1.0,0.9333,0.0
5,0.0086,1.0,0.4772,0.967,0.0
5,0.0172,1.0,0.474,0.9672,0.0
5,0.0258,1.0,0.4734,0.9673,0.0
5,0.0343,1.0,0.222,0.9844,0.0
5,0.0429,1.0,0.1358,0.9904,0.0
5,0.0515,1.0,0.132,0.9906,0.0
5,0.0601,1.0,0.1312,0.9907,0.0
5,0.0687,1.0,0.0642,0.9954,0.0
5,0.0773,1.0,0.0406,0.9971,0.0
5,0.0859,1.0,0.0384,0.9973,0.0
5,0.0944,1.0,0.0308,0.9978,0.0
5,0.103,1.0,0.023,0.9983,0.0
5,0.1116,1.0,0.0212,0.9985,0.0
5,0.1202,1.0,0.0188,0.9986,0.0
5,0.1288,1.0,0.0182,0.9987,0.0
5,0.1374,1.0,0.0172,0.9988,0.0
5,0.146,0.9999,0.0172,0.9987,0.0
5,0.1545,0.9999,0.0172,0.9987,0.0
5,0.1631,0.9998,0.0156,0.9988,0.0
5,0.1717,0.9994,0.0134,0.9988,0.0
5,0.1803,0.9992,0.0106,0.9989,0.0
5,0.1889,0.9991,0.0098,0.9989,0.0
5,0.1975,0.9991,0.0064,0.9991,0.0
5,0.2061,0.9991,0.004,0.9993,0.0
5,0.2146,0.999,0.0038,0.9992,0.0
5,0.2232,0.999,0.0018,0.9994,0.0
5,0.2318,0.999,0.001,0.9994,0.0
5,0.2404,0.9989,0.001,0.9994,0.0
5,0.249,0.9989,0.001,0.9994,0.0
5,0.2576,0.9989,0.0004,0.9994,0.0
5,0.2662,0.9988,0.0,0.9994,0.0
5,0.2747,0.9987,0.0,0.9994,0.0
5,0.2833,0.9987,0.0,0.9994,0.0
5,0.2919,0.9986,0.0,0.9993,0.0
5,0.3005,0.9985,0.0,0.9992,0.0
5,0.3091,0.9979,0.0,0.999,0.0
5,0.3177,0.9964,0.0,0.9982,0.0
5,0.3263,0.9938,0.0,0.9969,0.0
5,0.3348,0.9914,0.0,0.9957,0.0
5,0.3434,0.99,0.0,0.995,0.0
5,0.352,0.9889,0.0,0.9944,0.0
5,0.3606,0.9883,0.0,0.9941,0.0
5,0.3692,0.9879,0.0,0.9939,0.0
5,0.3778,0.9877,0.0,0.9938,0.0
5,0.3864,0.9873,0.0,0.9936,0.0
5,0.3949,0.9867,0.0,0.9933,0.0
5,0.4035,0.9864,0.0,0.9931,0.0
5,0.4121,0.9861,0.0,0.993,0.0
5,0.4207,0.9857,0.0,0.9928,0.0
5,0.4293,0.9851,0.0,0.9925,0.0
5,0.4379,0.9845,0.0,0.9922,0.0
5,0.4465,0.9835,0.0,0.9917,0.0
5,0.4551,0.9824,0.0,0.9911,0.0
5,0.4636,0.9808,0.0,0.9903,0.0
5,0.4722,0.976,0.0,0.9879,0.0
5,0.4808,0.9621,0.0,0.9807,0.0
5,0.4894,0.9461,0.0,0.9723,0.0
