tau,recall,fpr,f1,n_smooth,model
0.7638,0.9905,0.0843,0.9646,1,MLP_v2
0.7688,0.9903,0.0843,0.9645,1,MLP_v2
0.7739,0.9901,0.0843,0.9644,1,MLP_v2
0.7789,0.9899,0.0843,0.9643,1,MLP_v2
0.7839,0.9898,0.0842,0.9643,1,MLP_v2
0.7889,0.9896,0.0841,0.9642,1,MLP_v2
0.794,0.9889,0.0841,0.9639,1,MLP_v2
0.799,0.9883,0.0841,0.9635,1,MLP_v2
0.804,0.9877,0.084,0.9633,1,MLP_v2
0.809,0.9862,0.0839,0.9626,1,MLP_v2
0.8141,0.9847,0.0839,0.9618,1,MLP_v2
0.8191,0.9825,0.0839,0.9607,1,MLP_v2
0.8241,0.9795,0.0837,0.9592,1,MLP_v2
0.8291,0.9766,0.0837,0.9577,1,MLP_v2
0.8342,0.9737,0.0836,0.9563,1,MLP_v2
0.8392,0.971,0.0836,0.9549,1,MLP_v2
0.8442,0.9682,0.0834,0.9535,1,MLP_v2
0.8492,0.9649,0.0832,0.9519,1,MLP_v2
0.8543,0.9618,0.0827,0.9505,1,MLP_v2
0.8593,0.9586,0.0823,0.949,1,MLP_v2
0.8643,0.9563,0.0819,0.9479,1,MLP_v2
0.8693,0.953,0.0813,0.9464,1,MLP_v2
0.8744,0.9497,0.0801,0.9451,1,MLP_v2
0.8794,0.9455,0.0789,0.9433,1,MLP_v2
0.8844,0.9416,0.0773,0.9418,1,MLP_v2
0.8894,0.9367,0.0758,0.9397,1,MLP_v2
0.8945,0.9318,0.0739,0.9378,1,MLP_v2
0.8995,0.9268,0.0717,0.9359,1,MLP_v2
0.9045,0.9187,0.0689,0.9325,1,MLP_v2
0.9095,0.9032,0.0652,0.9254,1,MLP_v2
0.9146,0.8752,0.0624,0.9107,1,MLP_v2
0.9196,0.8488,0.0591,0.8968,1,MLP_v2
0.9246,0.8253,0.0545,0.8845,1,MLP_v2
0.9296,0.8037,0.0352,0.8783,1,MLP_v2
0.9347,0.7535,0.0144,0.8542,1,MLP_v2
0.9397,0.7204,0.0105,0.8336,1,MLP_v2
0.9447,0.7053,0.0085,0.8241,1,MLP_v2
0.9497,0.6915,0.008,0.8147,1,MLP_v2
0.9548,0.6803,0.0059,0.8076,1,MLP_v2
0.9598,0.6665,0.0047,0.7982,1,MLP_v2
0.9648,0.6534,0.0022,0.7896,1,MLP_v2
0.9698,0.6389,0.0017,0.779,1,MLP_v2
0.9749,0.6209,0.0016,0.7655,1,MLP_v2
0.9799,0.5837,0.0012,0.7367,1,MLP_v2
0.9849,0.1976,0.0012,0.3298,1,MLP_v2
0.9899,0.1492,0.0011,0.2594,1,MLP_v2
0.995,0.1097,0.0011,0.1976,1,MLP_v2
1.0,0.0,0.0,0.0,1,MLP_v2
0.0,1.0,1.0,0.7273,3,MLP_v2
0.005,1.0,0.0865,0.9686,3,MLP_v2
0.0101,1.0,0.0855,0.9689,3,MLP_v2
0.0151,1.0,0.0853,0.969,3,MLP_v2
0.0201,1.0,0.0851,0.9691,3,MLP_v2
0.0251,1.0,0.0851,0.9691,3,MLP_v2
0.0302,1.0,0.0851,0.9691,3,MLP_v2
0.0352,1.0,0.0851,0.9691,3,MLP_v2
0.0402,1.0,0.0851,0.9691,3,MLP_v2
0.0452,1.0,0.0851,0.9691,3,MLP_v2
0.0503,1.0,0.0851,0.9691,3,MLP_v2
0.0553,1.0,0.0851,0.9691,3,MLP_v2
0.0603,1.0,0.0851,0.9691,3,MLP_v2
0.0653,1.0,0.0851,0.9691,3,MLP_v2
0.0704,1.0,0.0851,0.9691,3,MLP_v2
0.0754,1.0,0.0851,0.9691,3,MLP_v2
0.0804,1.0,0.0851,0.9691,3,MLP_v2
0.0854,1.0,0.0851,0.9691,3,MLP_v2
0.0905,1.0,0.0851,0.9691,3,MLP_v2
0.0955,1.0,0.0851,0.9691,3,MLP_v2
0.1005,1.0,0.0851,0.9691,3,MLP_v2
0.1055,1.0,0.0851,0.9691,3,MLP_v2
0.1106,1.0,0.0851,0.9691,3,MLP_v2
0.1156,1.0,0.0851,0.9691,3,MLP_v2
0.1206,1.0,0.0851,0.9691,3,MLP_v2
0.1256,1.0,0.0851,0.9691,3,MLP_v2
0.1307,1.0,0.0851,0.9691,3,MLP_v2
0.1357,1.0,0.0851,0.9691,3,MLP_v2
0.1407,1.0,0.0851,0.9691,3,MLP_v2
0.1457,1.0,0.0851,0.9691,3,MLP_v2
0.1508,1.0,0.0851,0.9691,3,MLP_v2
0.1558,1.0,0.0851,0.9691,3,MLP_v2
0.1608,1.0,0.0851,0.9691,3,MLP_v2
0.1658,1.0,0.0851,0.9691,3,MLP_v2
