Sample     Label        p(atk)   Status     Verdict
509        attack       0.6056   ATTACK     [TP] Correct
510        ?            0.6060   ATTACK     [??] No label
511        attack       0.6059   ATTACK     [TP] Correct
512        ?            0.6106   ATTACK     [??] No label
513        attack       0.6082   ATTACK     [TP] Correct
514        ?            0.6148   ATTACK     [??] No label
515        attack       0.6114   ATTACK     [TP] Correct
516        ?            0.6112   ATTACK     [??] No label
517        attack       0.6112   ATTACK     [TP] Correct
518        ?            0.6094   ATTACK     [??] No label
519        attack       0.6102   ATTACK     [TP] Correct
520        ?            0.6102   ATTACK     [??] No label
521        attack       0.6101   ATTACK     [TP] Correct
522        ?            0.6074   ATTACK     [??] No label
523        attack       0.6087   ATTACK     [TP] Correct
524        ?            0.6050   ATTACK     [??] No label
525        attack       0.6070   ATTACK     [TP] Correct
526        ?            0.6070   ATTACK     [??] No label
527        attack       0.6070   ATTACK     [TP] Correct
528        ?            0.6055   ATTACK     [??] No label
529        attack       0.6063   ATTACK     [TP] Correct
530        ?            0.5671   ATTACK     [??] No label
531        attack       0.5837   ATTACK     [TP] Correct
532        ?            0.5869   ATTACK     [??] No label
533        attack       0.5837   ATTACK     [TP] Correct
534        ?            0.5856   ATTACK     [??] No label
535        attack       0.5835   ATTACK     [TP] Correct
536        ?            0.5824   ATTACK     [??] No label
537        attack       0.5817   ATTACK     [TP] Correct
538        ?            0.5840   ATTACK     [??] No label
539        attack       0.5819   ATTACK     [TP] Correct
540        ?            0.6195   ATTACK     [??] No label
541        attack       0.6033   ATTACK     [TP] Correct
542        ?            0.6031   ATTACK     [??] No label
543        attack       0.6033   ATTACK     [TP] Correct
544        ?            0.6029   ATTACK     [??] No label
545        attack       0.6030   ATTACK     [TP] Correct
546        ?            0.6086   ATTACK     [??] No label
547        attack       0.6058   ATTACK     [TP] Correct
548        ?            0.6044   ATTACK     [??] No label
549        attack       0.6051   ATTACK     [TP] Correct
550        ?            0.6072   ATTACK     [??] No label
551        attack       0.6062   ATTACK     [TP] Correct
552        ?            0.6055   ATTACK     [??] No label
553        attack       0.6059   ATTACK     [TP] Correct
554        ?            0.6004   ATTACK     [??] No label
555        attack       0.6032   ATTACK     [TP] Correct
556        ?            0.6032   ATTACK     [??] No label
557        attack       0.6030   ATTACK     [TP] Correct
558        ?            0.6047   ATTACK     [??] No label
559        attack       0.6040   ATTACK     [TP] Correct
560        ?            0.5995   ATTACK     [??] No label
561        attack       0.6016   ATTACK     [TP] Correct
562        ?            0.6025   ATTACK     [??] No label
563        attack       0.6021   ATTACK     [TP] Correct
564        ?            0.6059   ATTACK     [??] No label
565        attack       0.6039   ATTACK     [TP] Correct
566        ?            0.6019   ATTACK     [??] No label
567        attack       0.6030   ATTACK     [TP] Correct
568        ?            0.6031   ATTACK     [??] No label
569        attack       0.6028   ATTACK     [TP] Correct
570        ?            0.6063   ATTACK     [??] No label
571        attack       0.6047   ATTACK     [TP] Correct
572        ?            0.6057   ATTACK     [??] No label
573        attack       0.6052   ATTACK     [TP] Correct
574        ?            0.6102   ATTACK     [??] No label
575        attack       0.6076   ATTACK     [TP] Correct
576        ?            0.5999   ATTACK     [??] No label
577        attack       0.6037   ATTACK     [TP] Correct
